dataset,model,run_id,accuracy,precision,recall,f1,roc_auc
baseline,RandomForest,8,0.748898678414097,0.7525773195876289,0.9419354838709677,0.836676217765043,0.6186827956989247
baseline,RandomForest,9,0.7400881057268722,0.7526315789473684,0.9225806451612903,0.8289855072463768,0.6310931899641578
baseline,RandomForest,10,0.7577092511013216,0.7604166666666666,0.9419354838709677,0.8414985590778098,0.633646953405018
ratio,LogisticRegression,1,0.7312775330396476,0.735,0.9483870967741935,0.828169014084507,0.608915770609319
ratio,LogisticRegression,2,0.7709251101321586,0.7614213197969543,0.967741935483871,0.8522727272727273,0.7124551971326164
ratio,LogisticRegression,3,0.7444933920704846,0.7412935323383084,0.9612903225806452,0.8370786516853933,0.635752688172043
ratio,LogisticRegression,4,0.7444933920704846,0.7389162561576355,0.967741935483871,0.8379888268156425,0.625179211469534
ratio,LogisticRegression,5,0.73568281938326,0.7411167512690355,0.9419354838709677,0.8295454545454546,0.6381720430107527
ratio,LogisticRegression,6,0.748898678414097,0.7378640776699029,0.9806451612903225,0.8421052631578947,0.6088709677419355
ratio,LogisticRegression,7,0.73568281938326,0.7339901477832512,0.9612903225806452,0.8324022346368715,0.6694444444444445
ratio,LogisticRegression,8,0.73568281938326,0.7386934673366834,0.9483870967741935,0.8305084745762712,0.6003584229390682
ratio,LogisticRegression,9,0.7268722466960352,0.7313432835820896,0.9483870967741935,0.8258426966292135,0.6232974910394266
ratio,LogisticRegression,10,0.73568281938326,0.7386934673366834,0.9483870967741935,0.8305084745762712,0.6255376344086021
ratio,KNN,1,0.73568281938326,0.7653631284916201,0.8838709677419355,0.8203592814371258,0.717741935483871
ratio,KNN,2,0.73568281938326,0.7745664739884393,0.864516129032258,0.8170731707317073,0.7132616487455197
ratio,KNN,3,0.7444933920704846,0.7593582887700535,0.9161290322580645,0.8304093567251462,0.6504480286738351
ratio,KNN,4,0.73568281938326,0.7540106951871658,0.9096774193548387,0.8245614035087719,0.6402329749103943
ratio,KNN,5,0.7136563876651982,0.7528089887640449,0.864516129032258,0.8048048048048048,0.7053763440860215
ratio,KNN,6,0.7444933920704846,0.7566137566137566,0.9225806451612903,0.8313953488372093,0.6626344086021506
ratio,KNN,7,0.7224669603524229,0.7584269662921348,0.8709677419354839,0.8108108108108109,0.6881272401433692
ratio,KNN,8,0.748898678414097,0.7663043478260869,0.9096774193548387,0.831858407079646,0.709094982078853
