dataset,model,run_id,accuracy,precision,recall,f1,roc_auc,best_params
threshold,LogisticRegression,7,0.7533039647577092,0.751269035532995,0.9548387096774194,0.8409090909090909,0.650089605734767,"{'C': 1, 'class_weight': None, 'solver': 'liblinear'}"
threshold,LogisticRegression,8,0.7400881057268722,0.74,0.9548387096774194,0.8338028169014085,0.5736559139784946,"{'C': 0.1, 'class_weight': None, 'solver': 'lbfgs'}"
threshold,LogisticRegression,9,0.748898678414097,0.745,0.9612903225806452,0.8394366197183099,0.6290322580645161,"{'C': 10, 'class_weight': None, 'solver': 'lbfgs'}"
threshold,LogisticRegression,10,0.73568281938326,0.7386934673366834,0.9483870967741935,0.8305084745762712,0.6204301075268817,"{'C': 0.1, 'class_weight': None, 'solver': 'lbfgs'}"
threshold,KNN,1,0.7400881057268722,0.7474226804123711,0.9354838709677419,0.830945558739255,0.6778225806451614,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
threshold,KNN,2,0.775330396475771,0.7736842105263158,0.9483870967741935,0.8521739130434782,0.7370071684587814,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,KNN,3,0.73568281938326,0.7513227513227513,0.9161290322580645,0.8255813953488372,0.6756720430107527,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,KNN,4,0.7533039647577092,0.7487437185929648,0.9612903225806452,0.8418079096045198,0.6227150537634408,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,KNN,5,0.7136563876651982,0.7445652173913043,0.8838709677419355,0.8082595870206489,0.6601702508960574,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,KNN,6,0.775330396475771,0.7574257425742574,0.9870967741935484,0.8571428571428571,0.6309139784946237,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,KNN,7,0.7577092511013216,0.7604166666666666,0.9419354838709677,0.8414985590778098,0.710752688172043,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,KNN,8,0.748898678414097,0.7525773195876289,0.9419354838709677,0.836676217765043,0.6577060931899642,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
threshold,KNN,9,0.7224669603524229,0.7421052631578947,0.9096774193548387,0.8173913043478261,0.6700716845878137,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}"
threshold,KNN,10,0.7709251101321586,0.7614213197969543,0.967741935483871,0.8522727272727273,0.6623207885304659,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}"
threshold,RandomForest,1,0.7400881057268722,0.7448979591836735,0.9419354838709677,0.8319088319088319,0.6779121863799284,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
