dataset,model,run_id,f1,recall,accuracy
baseline,RandomForest,8,0.8409090909090909,0.9548387096774194,0.7533039647577092
baseline,RandomForest,9,0.8357348703170029,0.935483870967742,0.748898678414097
baseline,RandomForest,10,0.8481375358166189,0.9548387096774194,0.7665198237885462
ratio,LogisticRegression,1,0.8258426966292135,0.9483870967741936,0.7268722466960352
ratio,LogisticRegression,2,0.8522727272727273,0.967741935483871,0.7709251101321586
ratio,LogisticRegression,3,0.834733893557423,0.9612903225806452,0.7400881057268722
ratio,LogisticRegression,4,0.8388888888888889,0.9741935483870968,0.7444933920704846
ratio,LogisticRegression,5,0.830945558739255,0.935483870967742,0.7400881057268722
ratio,LogisticRegression,6,0.8383561643835616,0.9870967741935484,0.7400881057268722
ratio,LogisticRegression,7,0.8324022346368715,0.9612903225806452,0.73568281938326
ratio,LogisticRegression,8,0.8305084745762712,0.9483870967741936,0.73568281938326
ratio,LogisticRegression,9,0.828169014084507,0.9483870967741936,0.7312775330396476
ratio,LogisticRegression,10,0.8338028169014085,0.9548387096774194,0.7400881057268722
ratio,KNN,1,0.8262108262108262,0.935483870967742,0.7312775330396476
ratio,KNN,2,0.8513119533527697,0.9419354838709676,0.775330396475771
ratio,KNN,3,0.8465909090909091,0.9612903225806452,0.762114537444934
ratio,KNN,4,0.8433048433048433,0.9548387096774194,0.7577092511013216
ratio,KNN,5,0.8106508875739645,0.8838709677419355,0.7180616740088106
ratio,KNN,6,0.8515406162464986,0.9806451612903224,0.7665198237885462
ratio,KNN,7,0.8439306358381503,0.9419354838709676,0.762114537444934
ratio,KNN,8,0.8275862068965517,0.9290322580645162,0.73568281938326
ratio,KNN,9,0.8262108262108262,0.935483870967742,0.7312775330396476
ratio,KNN,10,0.8463768115942029,0.9419354838709676,0.7665198237885462
ratio,RandomForest,1,0.8390804597701149,0.9419354838709676,0.7533039647577092
ratio,RandomForest,2,0.8620689655172413,0.967741935483871,0.788546255506608
ratio,RandomForest,3,0.8498583569405099,0.967741935483871,0.7665198237885462
ratio,RandomForest,4,0.8531073446327684,0.9741935483870968,0.7709251101321586
ratio,RandomForest,5,0.8362573099415205,0.9225806451612903,0.7533039647577092
ratio,RandomForest,6,0.8357348703170029,0.935483870967742,0.748898678414097
ratio,RandomForest,7,0.8463768115942029,0.9419354838709676,0.7665198237885462
ratio,RandomForest,8,0.8539325842696629,0.9806451612903224,0.7709251101321586
ratio,RandomForest,9,0.8285714285714286,0.935483870967742,0.73568281938326
ratio,RandomForest,10,0.8531073446327684,0.9741935483870968,0.7709251101321586
threshold,LogisticRegression,1,0.828169014084507,0.9483870967741936,0.7312775330396476
threshold,LogisticRegression,2,0.8531073446327684,0.9741935483870968,0.7709251101321586
threshold,LogisticRegression,3,0.83008356545961,0.9612903225806452,0.7312775330396476
threshold,LogisticRegression,4,0.8356545961002786,0.967741935483871,0.7400881057268722
threshold,LogisticRegression,5,0.8218390804597702,0.9225806451612903,0.7268722466960352
threshold,LogisticRegression,6,0.8342541436464088,0.9741935483870968,0.73568281938326
threshold,LogisticRegression,7,0.8409090909090909,0.9548387096774194,0.7533039647577092
threshold,LogisticRegression,8,0.8338028169014085,0.9548387096774194,0.7400881057268722
threshold,LogisticRegression,9,0.8394366197183099,0.9612903225806452,0.748898678414097
threshold,LogisticRegression,10,0.8305084745762712,0.9483870967741936,0.73568281938326
threshold,KNN,1,0.830945558739255,0.935483870967742,0.7400881057268722
threshold,KNN,2,0.8521739130434782,0.9483870967741936,0.775330396475771
